year,rank,city,city_pop (thousands),total_pop (millions),percent
1790,1,Philadelphia,44.1,3.9,1.1307692307692307
1790,2,New York,33.1,3.9,0.8487179487179487
1790,3,Boston,18.3,3.9,0.46923076923076923
1790,4,Charleston,16.4,3.9,0.42051282051282046
1790,5,Salem,13.6,3.9,0.3487179487179487
1790,6,Baltimore,13.5,3.9,0.34615384615384615
1790,7,Newport,6.7,3.9,0.1717948717948718
1790,8,Providence,6.4,3.9,0.1641025641025641
1790,9,Gloucester,5.3,3.9,0.1358974358974359
1790,10,Newburyport,4.8,3.9,0.12307692307692307
1790,11,Portsmouth,4.7,3.9,0.12051282051282051
1790,12,Nantucket,4.6,3.9,0.11794871794871795
1790,13,Middleborough,4.5,3.9,0.11538461538461539
1790,14,New Haven,4.5,3.9,0.11538461538461539
1790,15,Richmond,3.8,3.9,0.09743589743589744
1790,16,Albany,3.5,3.9,0.08974358974358974
1790,17,Norfolk,3.0,3.9,0.07692307692307693
1790,18,Petersburg,2.8,3.9,0.07179487179487179
1790,19,Alexandria,2.8,3.9,0.07179487179487179
1790,20,Hartford,2.7,3.9,0.06923076923076923
1800,1,Philadelphia,61.6,5.3,1.1622641509433962
1800,2,New York,60.5,5.3,1.1415094339622642
1800,3,Baltimore,26.5,5.3,0.5
1800,4,Boston,24.9,5.3,0.46981132075471693
1800,5,Charleston,18.8,5.3,0.3547169811320755
1800,6,Salem,14.7,5.3,0.27735849056603773
1800,7,Washington,11.2,5.3,0.2113207547169811
1800,8,Providence,7.6,5.3,0.14339622641509434
1800,9,Norfolk,6.9,5.3,0.13018867924528302
1800,10,Newport,6.7,5.3,0.12641509433962264
1800,11,Newburyport,6.0,5.3,0.11320754716981132
1800,12,Richmond,5.7,5.3,0.10754716981132076
1800,13,Nantucket,5.6,5.3,0.10566037735849056
1800,14,Portsmouth,5.3,5.3,0.09999999999999999
1800,15,Gloucester,5.3,5.3,0.09999999999999999
1800,16,Schenectady,5.3,5.3,0.09999999999999999
1800,17,Albany,5.3,5.3,0.09999999999999999
1800,18,New London,5.2,5.3,0.09811320754716982
1800,19,Savannah,5.2,5.3,0.09811320754716982
1800,20,Middleborough,4.5,5.3,0.08490566037735849
1810,1,New York,101.0,7.2,1.4027777777777777
1810,2,Philadelphia,87.3,7.2,1.2125
1810,3,Baltimore,46.6,7.2,0.6472222222222223
1810,4,Boston,38.7,7.2,0.5375000000000001
1810,5,Charleston,24.7,7.2,0.34305555555555556
1810,6,Salem,23.1,7.2,0.32083333333333336
1810,7,Washington,20.4,7.2,0.2833333333333333
1810,8,New Orleans,17.2,7.2,0.23888888888888887
1810,9,Albany,10.8,7.2,0.15000000000000002
1810,10,Providence,10.1,7.2,0.14027777777777778
1810,11,Richmond,9.7,7.2,0.13472222222222222
1810,12,Norfolk,9.2,7.2,0.12777777777777777
1810,13,Newport,7.9,7.2,0.10972222222222222
1810,14,Newburyport,7.6,7.2,0.10555555555555556
1810,15,Portland,7.2,7.2,0.1
1810,16,Portsmouth,6.9,7.2,0.09583333333333334
1810,17,Nantucket,6.8,7.2,0.09444444444444444
1810,18,Gloucester,5.9,7.2,0.08194444444444444
1810,19,Schenectady,5.9,7.2,0.08194444444444444
1810,20,New Haven,5.8,7.2,0.08055555555555555
1820,1,New York,131.0,9.6,1.3645833333333333
1820,2,Philadelphia,109.0,9.6,1.1354166666666667
1820,3,Baltimore,62.7,9.6,0.6531250000000001
1820,4,Boston,54.0,9.6,0.5625
1820,5,Washington,28.8,9.6,0.3
1820,6,New Orleans,27.2,9.6,0.2833333333333333
1820,7,Charleston,24.8,9.6,0.25833333333333336
1820,8,Salem,22.6,9.6,0.2354166666666667
1820,9,Albany,17.9,9.6,0.1864583333333333
1820,10,Richmond,12.1,9.6,0.12604166666666666
1820,11,Providence,11.8,9.6,0.12291666666666667
1820,12,Cincinnati,9.6,9.6,0.09999999999999999
1820,13,Portland,8.6,9.6,0.08958333333333333
1820,14,Norfolk,8.5,9.6,0.08854166666666667
1820,15,Savannah,7.5,9.6,0.078125
1820,16,Portsmouth,7.3,9.6,0.07604166666666666
1820,17,Newport,7.3,9.6,0.07604166666666666
1820,18,Nantucket,7.3,9.6,0.07604166666666666
1820,19,Pittsburgh,7.3,9.6,0.07604166666666666
1820,20,New Haven,7.2,9.6,0.075
1830,1,New York,215.0,12.9,1.6666666666666667
1830,2,Philadelphia,161.0,12.9,1.248062015503876
1830,3,Boston,85.6,12.9,0.6635658914728682
1830,4,Baltimore,80.6,12.9,0.6248062015503876
1830,5,New Orleans,46.1,12.9,0.3573643410852713
1830,6,Albany,35.8,12.9,0.2775193798449612
1830,7,Washington,35.5,12.9,0.2751937984496124
1830,8,Charleston,30.3,12.9,0.23488372093023258
1830,9,Salem,27.3,12.9,0.2116279069767442
1830,10,Cincinnati,24.8,12.9,0.19224806201550387
1830,11,Providence,22.4,12.9,0.17364341085271318
1830,12,Richmond,16.1,12.9,0.1248062015503876
1830,13,Pittsburgh,15.4,12.9,0.11937984496124031
1830,14,Newark,14.4,12.9,0.11162790697674418
1830,15,Portland,12.6,12.9,0.09767441860465116
1830,16,Louisville,10.3,12.9,0.07984496124031008
1830,17,New Haven,10.2,12.9,0.07906976744186046
1830,18,Norfolk,9.8,12.9,0.07596899224806201
1830,19,Rochester,9.2,12.9,0.07131782945736434
1830,20,Buffalo,8.7,12.9,0.06744186046511627
1840,1,New York,374.0,17,2.2
1840,2,Philadelphia,259.0,17,1.5235294117647058
1840,3,Boston,183.0,17,1.076470588235294
1840,4,Baltimore,110.0,17,0.6470588235294118
1840,5,New Orleans,105.0,17,0.6176470588235294
1840,6,Albany,72.0,17,0.4235294117647059
1840,7,Cincinnati,54.8,17,0.32235294117647056
1840,8,Washington,50.2,17,0.2952941176470588
1840,9,Pittsburgh,43.7,17,0.2570588235294118
1840,10,Charleston,42.6,17,0.25058823529411767
1840,11,Providence,40.9,17,0.24058823529411763
1840,12,Louisville,34.2,17,0.20117647058823532
1840,13,Rochester,31.4,17,0.18470588235294116
1840,14,Newark,29.8,17,0.17529411764705882
1840,15,Buffalo,29.3,17,0.1723529411764706
1840,16,Portland,28.6,17,0.16823529411764707
1840,17,St. Louis,28.4,17,0.16705882352941176
1840,18,New Bedford,24.1,17,0.14176470588235296
1840,19,New Haven,21.9,17,0.1288235294117647
1840,20,Detroit,21.2,17,0.12470588235294117
1850,1,New York,650.0,23.1,2.813852813852814
1850,2,Philadelphia,405.0,23.1,1.7532467532467533
1850,3,Boston,308.0,23.1,1.3333333333333333
1850,4,Baltimore,179.0,23.1,0.7748917748917749
1850,5,Cincinnati,133.0,23.1,0.5757575757575758
1850,6,New Orleans,123.0,23.1,0.5324675324675324
1850,7,Albany,107.0,23.1,0.46320346320346323
1850,8,St. Louis,95.0,23.1,0.41125541125541126
1850,9,Pittsburgh,86.0,23.1,0.3722943722943723
1850,10,Buffalo,80.0,23.1,0.3463203463203463
1850,11,Washington,67.0,23.1,0.29004329004329005
1850,12,Providence,65.0,23.1,0.2813852813852814
1850,13,Louisville,61.0,23.1,0.26406926406926406
1850,14,Newark,57.0,23.1,0.24675324675324675
1850,15,Charleston,50.0,23.1,0.21645021645021645
1850,16,Rochester,49.0,23.1,0.21212121212121213
1850,17,Chicago,40.0,23.1,0.17316017316017315
1850,18,Syracuse,38.0,23.1,0.1645021645021645
1850,19,Detroit,38.0,23.1,0.1645021645021645
1850,20,Portland,36.0,23.1,0.15584415584415584
1860,1,New York,1143.0,31.4,3.640127388535032
1860,2,Philadelphia,608.0,31.4,1.9363057324840764
1860,3,Boston,374.0,31.4,1.1910828025477707
1860,4,Baltimore,221.0,31.4,0.7038216560509554
1860,5,Cincinnati,192.0,31.4,0.6114649681528662
1860,6,St. Louis,176.0,31.4,0.5605095541401274
1860,7,New Orleans,172.0,31.4,0.5477707006369427
1860,8,Chicago,123.0,31.4,0.39171974522292996
1860,9,Albany,116.0,31.4,0.36942675159235666
1860,10,Newark,103.0,31.4,0.32802547770700635
1860,11,Pittsburgh,93.0,31.4,0.2961783439490446
1860,12,Buffalo,90.0,31.4,0.28662420382165604
1860,13,Louisville,88.0,31.4,0.2802547770700637
1860,14,Washington,80.0,31.4,0.25477707006369427
1860,15,Providence,69.0,31.4,0.2197452229299363
1860,16,Detroit,59.0,31.4,0.18789808917197454
1860,17,San Francisco,57.0,31.4,0.18152866242038215
1860,18,Rochester,56.0,31.4,0.17834394904458598
1860,19,Cleveland,49.0,31.4,0.15605095541401273
1860,20,Milwaukee,48.0,31.4,0.15286624203821655
1870,1,New York,1687.0,38.6,4.370466321243524
1870,2,Philadelphia,747.0,38.6,1.9352331606217616
1870,3,Boston,501.0,38.6,1.2979274611398963
1870,4,St. Louis,345.0,38.6,0.8937823834196891
1870,5,Chicago,324.0,38.6,0.8393782383419689
1870,6,Baltimore,283.0,38.6,0.7331606217616581
1870,7,Cincinnati,257.0,38.6,0.6658031088082902
1870,8,New Orleans,196.0,38.6,0.5077720207253886
1870,9,Pittsburgh,170.0,38.6,0.44041450777202074
1870,10,Albany,157.0,38.6,0.4067357512953368
1870,11,San Francisco,151.0,38.6,0.3911917098445596
1870,12,Buffalo,133.0,38.6,0.344559585492228
1870,13,Louisville,129.0,38.6,0.33419689119170987
1870,14,Washington,123.0,38.6,0.31865284974093266
1870,15,Providence,101.0,38.6,0.2616580310880829
1870,16,Detroit,101.0,38.6,0.2616580310880829
1870,17,Cleveland,101.0,38.6,0.2616580310880829
1870,18,Milwaukee,75.0,38.6,0.19430051813471502
1870,19,Rochester,73.0,38.6,0.18911917098445596
1870,20,New Haven,65.0,38.6,0.16839378238341968
1880,1,New York,2234.0,50.2,4.450199203187251
1880,2,Philadelphia,949.0,50.2,1.8904382470119523
1880,3,Boston,658.0,50.2,1.3107569721115537
1880,4,Chicago,543.0,50.2,1.0816733067729083
1880,5,St. Louis,386.0,50.2,0.7689243027888446
1880,6,Baltimore,353.0,50.2,0.703187250996016
1880,7,Cincinnati,307.0,50.2,0.6115537848605578
1880,8,Pittsburgh,265.0,50.2,0.5278884462151394
1880,9,San Francisco,236.0,50.2,0.4701195219123506
1880,10,New Orleans,219.0,50.2,0.4362549800796813
1880,11,Albany,178.0,50.2,0.3545816733067729
1880,12,Buffalo,171.0,50.2,0.34063745019920316
1880,13,Cleveland,169.0,50.2,0.33665338645418325
1880,14,Washington,164.0,50.2,0.32669322709163345
1880,15,Detroit,147.0,50.2,0.29282868525896416
1880,16,Louisville,143.0,50.2,0.2848605577689243
1880,17,Providence,128.0,50.2,0.2549800796812749
1880,18,Milwaukee,121.0,50.2,0.2410358565737052
1880,19,Rochester,103.0,50.2,0.2051792828685259
1880,20,Minneapolis,94.0,50.2,0.18725099601593626
1890,1,New York,2977.0,63,4.7253968253968255
1890,2,Philadelphia,1180.0,63,1.873015873015873
1890,3,Chicago,1141.0,63,1.8111111111111111
1890,4,Boston,818.0,63,1.2984126984126985
1890,5,St. Louis,490.0,63,0.7777777777777778
1890,6,Baltimore,453.0,63,0.719047619047619
1890,7,Pittsburgh,396.0,63,0.6285714285714286
1890,8,Cincinnati,344.0,63,0.546031746031746
1890,9,Minneapolis,305.0,63,0.48412698412698413
1890,10,San Francisco,302.0,63,0.4793650793650794
1890,11,Cleveland,274.0,63,0.43492063492063493
1890,12,Buffalo,272.0,63,0.43174603174603177
1890,13,Washington,253.0,63,0.4015873015873016
1890,14,New Orleans,245.0,63,0.3888888888888889
1890,15,Detroit,237.0,63,0.3761904761904762
1890,16,Milwaukee,212.0,63,0.33650793650793653
1890,17,Albany,189.0,63,0.3
1890,18,Louisville,183.0,63,0.2904761904761905
1890,19,Kansas City,165.0,63,0.2619047619047619
1890,20,Providence,163.0,63,0.25873015873015875
1900,1,New York,4266.0,76.2,5.5984251968503935
1900,2,Chicago,1759.0,76.2,2.3083989501312336
1900,3,Philadelphia,1454.0,76.2,1.9081364829396326
1900,4,Boston,1009.0,76.2,1.3241469816272966
1900,5,St. Louis,626.0,76.2,0.821522309711286
1900,6,Pittsburgh,532.0,76.2,0.6981627296587927
1900,7,Baltimore,532.0,76.2,0.6981627296587927
1900,8,Cleveland,396.0,76.2,0.5196850393700787
1900,9,Cincinnati,379.0,76.2,0.4973753280839895
1900,10,San Francisco,375.0,76.2,0.4921259842519685
1900,11,Minneapolis,374.0,76.2,0.49081364829396323
1900,12,Buffalo,373.0,76.2,0.489501312335958
1900,13,Detroit,321.0,76.2,0.421259842519685
1900,14,Washington,302.0,76.2,0.3963254593175853
1900,15,Milwaukee,296.0,76.2,0.3884514435695538
1900,16,New Orleans,291.0,76.2,0.38188976377952755
1900,17,Providence,243.0,76.2,0.3188976377952756
1900,18,Kansas City,242.0,76.2,0.31758530183727035
1900,19,Louisville,227.0,76.2,0.2979002624671916
1900,20,Albany,188.0,76.2,0.24671916010498687
1910,1,New York,6021.0,92.2,6.530368763557484
1910,2,Chicago,2283.0,92.2,2.4761388286334056
1910,3,Philadelphia,1746.0,92.2,1.8937093275488068
1910,4,Boston,1213.0,92.2,1.3156182212581344
1910,5,St. Louis,760.0,92.2,0.824295010845987
1910,6,Pittsburgh,655.0,92.2,0.710412147505423
1910,7,San Francisco,604.0,92.2,0.6550976138828634
1910,8,Baltimore,589.0,92.2,0.6388286334056399
1910,9,Cleveland,580.0,92.2,0.6290672451193059
1910,10,Minneapolis,526.0,92.2,0.5704989154013015
1910,11,Detroit,503.0,92.2,0.5455531453362256
1910,12,Cincinnati,425.0,92.2,0.4609544468546638
1910,13,Buffalo,420.0,92.2,0.455531453362256
1910,14,Milwaukee,389.0,92.2,0.42190889370932755
1910,15,Los Angeles,374.0,92.2,0.40563991323210413
1910,16,Kansas City,357.0,92.2,0.3872017353579176
1910,17,Washington,357.0,92.2,0.3872017353579176
1910,18,New Orleans,344.0,92.2,0.37310195227765725
1910,19,Albany,283.0,92.2,0.306941431670282
1910,20,Providence,274.0,92.2,0.29718004338394793
1920,1,New York,7041.0,106,6.642452830188679
1920,2,Chicago,2859.0,106,2.6971698113207547
1920,3,Philadelphia,2072.0,106,1.9547169811320755
1920,4,Boston,1366.0,106,1.288679245283019
1920,5,Detroit,1071.0,106,1.010377358490566
1920,6,St. Louis,859.0,106,0.810377358490566
1920,7,Cleveland,834.0,106,0.7867924528301887
1920,8,Pittsburgh,775.0,106,0.7311320754716981
1920,9,San Francisco,771.0,106,0.7273584905660377
1920,10,Baltimore,753.0,106,0.710377358490566
1920,11,Los Angeles,682.0,106,0.6433962264150943
1920,12,Minneapolis,626.0,106,0.590566037735849
1920,13,Buffalo,539.0,106,0.5084905660377359
1920,14,Milwaukee,478.0,106,0.4509433962264151
1920,15,Cincinnati,470.0,106,0.44339622641509435
1920,16,Washington,467.0,106,0.44056603773584907
1920,17,Kansas City,455.0,106,0.42924528301886794
1920,18,New Orleans,393.0,106,0.37075471698113205
1920,19,Seattle,334.0,106,0.3150943396226415
1920,20,Indianapolis,323.0,106,0.30471698113207546
1930,1,New York,8667.0,103.2,8.398255813953488
1930,2,Chicago,3718.0,103.2,3.602713178294574
1930,3,Philadelphia,2264.0,103.2,2.193798449612403
1930,4,Detroit,1721.0,103.2,1.6676356589147288
1930,5,Los Angeles,1617.0,103.2,1.566860465116279
1930,6,Boston,1479.0,103.2,1.433139534883721
1930,7,San Francisco,996.0,103.2,0.9651162790697675
1930,8,Cleveland,976.0,103.2,0.9457364341085271
1930,9,Pittsburgh,960.0,103.2,0.9302325581395349
1930,10,St. Louis,950.0,103.2,0.9205426356589147
1930,11,Baltimore,836.0,103.2,0.810077519379845
1930,12,Minneapolis,753.0,103.2,0.7296511627906976
1930,13,Buffalo,620.0,103.2,0.6007751937984496
1930,14,Milwaukee,615.0,103.2,0.5959302325581395
1930,15,Cincinnati,580.0,103.2,0.562015503875969
1930,16,Kansas City,561.0,103.2,0.5436046511627907
1930,17,Washington,527.0,103.2,0.5106589147286822
1930,18,New Orleans,469.0,103.2,0.45445736434108525
1930,19,Seattle,390.0,103.2,0.37790697674418605
1930,20,Indianapolis,379.0,103.2,0.36724806201550386
1940,1,New York,10135.0,132.1,7.67221801665405
1940,2,Chicago,4210.0,132.1,3.1869795609386826
1940,3,Philadelphia,2538.0,132.1,1.9212717638152914
1940,4,Los Angeles,2268.0,132.1,1.716881150643452
1940,5,Detroit,2041.0,132.1,1.5450416351249054
1940,6,Boston,1746.0,132.1,1.3217259651778954
1940,7,San Francisco,1156.0,132.1,0.8750946252838758
1940,8,Pittsburgh,1134.0,132.1,0.858440575321726
1940,9,St. Louis,1102.0,132.1,0.834216502649508
1940,10,Cleveland,1079.0,132.1,0.8168054504163512
1940,11,Baltimore,992.0,132.1,0.7509462528387585
1940,12,Minneapolis,886.0,132.1,0.6707040121120363
1940,13,Washington,800.0,132.1,0.6056018168054504
1940,14,Buffalo,708.0,132.1,0.5359576078728236
1940,15,Milwaukee,705.0,132.1,0.5336866010598031
1940,16,Kansas City,632.0,132.1,0.4784254352763058
1940,17,Cincinnati,559.0,132.1,0.4231642694928085
1940,18,New Orleans,557.0,132.1,0.42165026495079483
1940,19,Houston,471.0,132.1,0.35654806964420893
1940,20,Seattle,451.0,132.1,0.3414080242240727
1950,1,New York,12604.0,151.3,8.330469266358229
1950,2,Chicago,5208.0,151.3,3.44216787838731
1950,3,Los Angeles,4250.0,151.3,2.808988764044944
1950,4,Philadelphia,3297.0,151.3,2.17911434236616
1950,5,Detroit,2884.0,151.3,1.906146728354263
1950,6,Boston,2301.0,151.3,1.5208195637805684
1950,7,San Francisco,2131.0,151.3,1.4084600132187706
1950,8,St. Louis,1541.0,151.3,1.0185062789160608
1950,9,Cleveland,1425.0,151.3,0.9418374091209517
1950,10,Pittsburgh,1400.0,151.3,0.9253139458030403
1950,11,Washington,1287.0,151.3,0.8506278916060807
1950,12,Baltimore,1162.0,151.3,0.7680105750165235
1950,13,Minneapolis,987.0,151.3,0.6523463317911434
1950,14,Buffalo,895.0,151.3,0.5915399867812293
1950,15,Dallas,855.0,151.3,0.565102445472571
1950,16,Milwaukee,829.0,151.3,0.5479180436219432
1950,17,Cincinnati,813.0,151.3,0.5373430270984798
1950,18,Houston,701.0,151.3,0.4633179114342366
1950,19,Kansas City,698.0,151.3,0.46133509583608723
1950,20,New Orleans,660.0,151.3,0.43621943159286186
1960,1,New York,14437.0,179.3,8.051868377021751
1960,2,Los Angeles,6805.0,179.3,3.795315114333519
1960,3,Chicago,6377.0,179.3,3.5566090351366424
1960,4,Philadelphia,3989.0,179.3,2.2247629670942555
1960,5,Detroit,3750.0,179.3,2.0914668153931957
1960,6,San Francisco,2607.0,179.3,1.4539877300613497
1960,7,Boston,2501.0,179.3,1.3948689347462353
1960,8,Pittsburgh,2105.0,179.3,1.174010039040714
1960,9,Washington,1905.0,179.3,1.0624651422197435
1960,10,St. Louis,1864.0,179.3,1.0395984383714445
1960,11,Cleveland,1785.0,179.3,0.9955382041271612
1960,12,Dallas,1435.0,179.3,0.800334634690463
1960,13,Baltimore,1419.0,179.3,0.7914110429447853
1960,14,Minneapolis,1377.0,179.3,0.7679866146123815
1960,15,Miami,1173.0,179.3,0.6542108198549916
1960,16,Milwaukee,1150.0,179.3,0.64138315672058
1960,17,Houston,1140.0,179.3,0.6358059118795315
1960,18,Buffalo,1054.0,179.3,0.5878416062465143
1960,19,Cincinnati,994.0,179.3,0.5543781372002231
1960,20,Kansas City,921.0,179.3,0.5136642498605689
1970,1,New York,16193.0,203.3,7.965076242006886
1970,2,Los Angeles,7984.0,203.3,3.927201180521397
1970,3,Chicago,7164.0,203.3,3.5238563698967043
1970,4,Philadelphia,4419.0,203.3,2.173635022134776
1970,5,Detroit,4085.0,203.3,2.0093457943925235
1970,6,San Francisco,3049.0,203.3,1.499754058042302
1970,7,Boston,2703.0,203.3,1.3295622233152975
1970,8,Washington,2671.0,203.3,1.3138219380226266
1970,9,Pittsburgh,2124.0,203.3,1.044761436301033
1970,10,St. Louis,2123.0,203.3,1.044269552385637
1970,11,Dallas,2016.0,203.3,0.9916379734382685
1970,12,Cleveland,1960.0,203.3,0.9640924741760944
1970,13,Miami,1834.0,203.3,0.9021151008362026
1970,14,Minneapolis,1701.0,203.3,0.836694540088539
1970,15,Houston,1678.0,203.3,0.8253812100344319
1970,16,Baltimore,1580.0,203.3,0.7771765863256271
1970,17,Milwaukee,1252.0,203.3,0.6158386620757501
1970,18,Seattle,1238.0,203.3,0.6089522872602066
1970,19,San Diego,1198.0,203.3,0.5892769306443679
1970,20,Atlanta,1172.0,203.3,0.5764879488440728
1980,1,New York,16500.0,226.5,7.28476821192053
1980,2,Los Angeles,10841.0,226.5,4.786313465783665
1980,3,Chicago,7325.0,226.5,3.2339955849889623
1980,4,Philadelphia,4830.0,226.5,2.1324503311258276
1980,5,Detroit,4214.0,226.5,1.8604856512141281
1980,6,San Francisco,4185.0,226.5,1.8476821192052981
1980,7,Boston,3064.0,226.5,1.3527593818984547
1980,8,Washington,2912.0,226.5,1.2856512141280354
1980,9,Houston,2757.0,226.5,1.2172185430463576
1980,10,Dallas,2713.0,226.5,1.1977924944812361
1980,11,Miami,2616.0,226.5,1.1549668874172185
1980,12,St. Louis,1849.0,226.5,0.8163355408388521
1980,13,Pittsburgh,1810.0,226.5,0.7991169977924945
1980,14,Minneapolis,1788.0,226.5,0.7894039735099337
1980,15,Baltimore,1755.0,226.5,0.7748344370860927
1980,16,Cleveland,1752.0,226.5,0.7735099337748345
1980,17,San Diego,1704.0,226.5,0.752317880794702
1980,18,Atlanta,1613.0,226.5,0.7121412803532009
1980,19,Phoenix,1409.0,226.5,0.622075055187638
1980,20,Seattle,1392.0,226.5,0.614569536423841
1990,1,New York,16754.0,248.7,6.736630478488138
1990,2,Los Angeles,13522.0,248.7,5.437072778447929
1990,3,Chicago,7373.0,248.7,2.964616003216727
1990,4,San Francisco,5386.0,248.7,2.1656614394853237
1990,5,Philadelphia,4970.0,248.7,1.9983916365098513
1990,6,Miami,3948.0,248.7,1.5874547647768396
1990,7,Detroit,3698.0,248.7,1.4869320466425413
1990,8,Washington,3363.0,248.7,1.3522316043425815
1990,9,Boston,3355.0,248.7,1.3490148773622839
1990,10,Dallas,3265.0,248.7,1.3128266988339365
1990,11,Houston,3088.0,248.7,1.2416566143948533
1990,12,Seattle,2354.0,248.7,0.9465219139525533
1990,13,San Diego,2348.0,248.7,0.9441093687173301
1990,14,Atlanta,2158.0,248.7,0.8677121029352634
1990,15,Minneapolis,2080.0,248.7,0.8363490148773622
1990,16,Phoenix,2006.0,248.7,0.8065942903096099
1990,17,St. Louis,1947.0,248.7,0.7828709288299156
1990,18,Baltimore,1890.0,248.7,0.7599517490952955
1990,19,Pittsburgh,1744.0,248.7,0.7012464817048653
1990,20,Tampa,1709.0,248.7,0.6871733011660636
2000,1,New York,18689.0,281.4,6.641435678749112
2000,2,Los Angeles,14661.0,281.4,5.21002132196162
2000,3,Chicago,8419.0,281.4,2.9918265813788203
2000,4,San Francisco,5973.0,281.4,2.1226012793176974
2000,5,Philadelphia,5418.0,281.4,1.9253731343283582
2000,6,Miami,4919.0,281.4,1.748045486851457
2000,7,Dallas,4445.0,281.4,1.5796019900497513
2000,8,Houston,4063.0,281.4,1.4438521677327647
2000,9,Boston,4032.0,281.4,1.4328358208955223
2000,10,Washington,3934.0,281.4,1.3980099502487562
2000,11,Detroit,3903.0,281.4,1.3869936034115138
2000,12,Atlanta,3500.0,281.4,1.243781094527363
2000,13,Seattle,3018.0,281.4,1.072494669509595
2000,14,Phoenix,2975.0,281.4,1.0572139303482586
2000,15,San Diego,2674.0,281.4,0.9502487562189055
2000,16,Minneapolis,2389.0,281.4,0.8489694385216773
2000,17,Baltimore,2251.0,281.4,0.7999289267945985
2000,18,Denver,2231.0,281.4,0.7928216062544421
2000,19,St. Louis,2078.0,281.4,0.738450604122246
2000,20,Tampa,2062.0,281.4,0.7327647476901208
2010,1,New York,20009.0,308.7,6.481697440881114
2010,2,Los Angeles,15750.0,308.7,5.1020408163265305
2010,3,Chicago,9023.0,308.7,2.922902494331066
2010,4,San Francisco,6828.0,308.7,2.2118561710398446
2010,5,Philadelphia,6003.0,308.7,1.944606413994169
2010,6,Dallas,5685.0,308.7,1.8415937803692906
2010,7,Miami,5513.0,308.7,1.7858762552640104
2010,8,Houston,5382.0,308.7,1.7434402332361516
2010,9,Atlanta,4743.0,308.7,1.5364431486880465
2010,10,Washington,4697.0,308.7,1.5215419501133787
2010,11,Boston,4407.0,308.7,1.4275996112730807
2010,12,Detroit,4160.0,308.7,1.3475866537091028
2010,13,Phoenix,3863.0,308.7,1.2513767411726595
2010,14,Seattle,3446.0,308.7,1.1162941367023
2010,15,San Diego,2985.0,308.7,0.966958211856171
2010,16,Denver,2716.0,308.7,0.8798185941043084
2010,17,Minneapolis,2651.0,308.7,0.8587625526401037
2010,18,Baltimore,2497.0,308.7,0.8088759313249109
2010,19,Tampa,2442.0,308.7,0.7910592808551993
2010,20,St. Louis,2246.0,308.7,0.7275672173631357
